iter	Passed	Remaining
289	1238	3033
290	1242	3027
291	1246	3022
292	1250	3016
293	1254	3013
294	1258	3007
295	1262	3001
296	1266	2996
297	1270	2993
298	1275	2989
299	1279	2984
300	1283	2980
301	1287	2976
302	1291	2970
303	1295	2966
304	1300	2963
305	1304	2958
306	1308	2952
307	1311	2946
308	1315	2941
309	1319	2937
310	1323	2932
311	1327	2927
312	1331	2922
313	1335	2917
314	1339	2913
315	1344	2909
316	1347	2904
317	1351	2898
318	1355	2893
319	1360	2891
320	1364	2886
321	1368	2881
322	1373	2877
323	1376	2872
324	1381	2868
325	1385	2863
326	1389	2859
327	1393	2854
328	1396	2848
329	1401	2844
330	1405	2841
331	1409	2836
332	1413	2831
333	1417	2826
334	1421	2822
335	1425	2817
336	1429	2812
337	1434	2808
338	1438	2804
339	1443	2801
340	1447	2798
341	1453	2795
342	1456	2790
343	1461	2786
344	1466	2783
345	1470	2779
346	1474	2775
347	1479	2771
348	1483	2766
349	1487	2761
350	1490	2756
351	1495	2753
352	1499	2747
353	1502	2741
354	1506	2736
355	1510	2732
356	1514	2727
357	1517	2722
358	1521	2716
359	1526	2713
360	1529	2707
361	1533	2702
362	1536	2697
363	1541	2693
364	1545	2687
365	1548	2682
366	1552	2677
367	1556	2673
368	1560	2668
369	1564	2663
370	1568	2658
371	1571	2652
372	1575	2647
373	1579	2644
374	1584	2640
375	1587	2635
376	1591	2629
377	1595	2625
378	1599	2620
379	1603	2615
380	1606	2610
381	1610	2604
382	1613	2600
383	1618	2595
384	1621	2590
385	1625	2586
386	1630	2582
387	1634	2578
388	1638	2574
389	1642	2569
390	1647	2566
391	1652	2562
392	1656	2557
393	1661	2555
394	1665	2550
395	1668	2545
396	1672	2540
397	1678	2538
398	1682	2534
399	1686	2530
400	1691	2527
401	1695	2521
402	1699	2516
403	1702	2511
404	1707	2508
405	1711	2503
406	1715	2499
407	1720	2495
408	1724	2491
409	1728	2488
410	1733	2483
411	1738	2480
412	1741	2475
413	1745	2470
414	1749	2465
415	1753	2461
416	1756	2456
417	1761	2452
418	1767	2450
419	1771	2445
420	1774	2440
421	1778	2436
422	1783	2433
423	1789	2431
424	1793	2426
425	1815	2446
426	1819	2442
427	1823	2437
428	1828	2433
429	1833	2430
430	1838	2426
431	1843	2423
432	1847	2419
433	1851	2414
434	1855	2410
435	1861	2407
436	1865	2403
437	1869	2398
438	1874	2395
439	1879	2391
440	1884	2388
441	1890	2386
442	1896	2383
443	1900	2379
444	1906	2377
445	1911	2373
446	1914	2368
447	1918	2363
448	1922	2358
449	1927	2355
450	1931	2350
451	1935	2347
452	1939	2342
453	1944	2338
454	1948	2333
455	1951	2328
456	1955	2323
457	1960	2319
458	1963	2314
459	1967	2309
460	1971	2304
461	1974	2299
462	1977	2293
463	1982	2289
464	1985	2284
465	1988	2278
466	1991	2273
467	1996	2269
468	1999	2264
469	2003	2259
470	2006	2253
471	2009	2248
472	2014	2244
473	2018	2239
474	2021	2234
475	2026	2230
476	2030	2225
477	2033	2221
478	2037	2216
479	2041	2211
480	2045	2207
481	2049	2202
482	2053	2197
483	2059	2195
484	2064	2191
485	2068	2187
486	2073	2184
487	2077	2179
488	2080	2174
489	2084	2169
490	2089	2166
491	2092	2160
492	2096	2155
493	2099	2150
494	2102	2144
495	2105	2139
496	2109	2134
497	2113	2130
498	2116	2124
499	2120	2120
500	2123	2115
501	2127	2110
502	2130	2105
503	2133	2099
504	2138	2095
505	2141	2091
506	2145	2086
507	2149	2082
508	2153	2077
509	2157	2072
510	2160	2067
511	2164	2062
512	2167	2057
513	2171	2052
514	2174	2048
515	2178	2043
516	2182	2038
517	2185	2033
518	2188	2028
519	2191	2022
520	2194	2017
521	2198	2013
522	2201	2008
523	2204	2002
524	2208	1997
525	2212	1993
526	2214	1987
527	2218	1982
528	2221	1978
529	2225	1973
530	2228	1967
531	2231	1963
532	2234	1958
533	2237	1952
534	2241	1948
535	2245	1944
536	2249	1939
537	2253	1935
538	2256	1930
539	2260	1925
540	2264	1921
541	2267	1916
542	2271	1911
543	2275	1907
544	2278	1902
545	2281	1897
546	2284	1892
547	2288	1887
548	2291	1882
549	2295	1877
550	2298	1872
551	2301	1868
552	2305	1863
553	2308	1858
554	2311	1853
555	2314	1848
556	2318	1844
557	2321	1838
558	2324	1833
559	2328	1829
560	2332	1825
561	2336	1820
562	2339	1816
563	2342	1810
564	2345	1806
565	2349	1801
566	2352	1796
567	2355	1791
568	2359	1787
569	2362	1782
570	2366	1778
571	2370	1773
572	2373	1769
573	2377	1764
574	2381	1760
575	2385	1755
576	2388	1751
577	2392	1746
578	2396	1742
579	2399	1737
580	2403	1733
581	2406	1728
582	2410	1724
583	2414	1719
584	2417	1715
585	2421	1710
586	2427	1707
587	2431	1703
588	2434	1698
589	2437	1693
590	2441	1689
591	2444	1684
592	2447	1679
593	2451	1675
594	2454	1670
595	2459	1666
596	2462	1662
597	2466	1657
598	2469	1653
599	2474	1649
600	2477	1644
601	2481	1640
602	2484	1635
603	2488	1631
604	2491	1626
605	2494	1622
606	2498	1617
607	2501	1612
608	2504	1608
609	2508	1603
610	2511	1599
611	2515	1594
612	2519	1590
613	2522	1585
614	2526	1581
615	2529	1576
616	2533	1572
617	2537	1568
618	2541	1564
619	2544	1559
620	2548	1555
621	2552	1551
622	2556	1546
623	2559	1542
624	2564	1538
625	2568	1534
626	2571	1530
627	2575	1525
628	2579	1521
629	2583	1517
630	2587	1513
631	2591	1508
632	2594	1504
633	2598	1500
634	2601	1495
635	2605	1490
636	2608	1486
637	2613	1482
638	2616	1478
639	2620	1473
640	2623	1469
641	2627	1465
642	2631	1461
643	2634	1456
644	2638	1452
645	2643	1448
646	2647	1444
647	2650	1439
648	2654	1435
649	2658	1431
650	2662	1427
651	2666	1423
652	2670	1418
653	2674	1414
654	2677	1410
655	2681	1406
656	2684	1401
657	2688	1397
658	2691	1392
659	2695	1388
660	2698	1383
661	2703	1380
662	2706	1375
663	2710	1371
664	2713	1367
665	2717	1362
666	2720	1358
667	2725	1354
668	2728	1350
669	2732	1345
670	2735	1341
671	2739	1337
672	2743	1332
673	2747	1328
674	2751	1324
675	2755	1320
676	2759	1316
677	2762	1312
678	2766	1308
679	2770	1303
680	2774	1299
681	2778	1295
682	2782	1291
683	2785	1286
684	2789	1282
685	2792	1278
686	2796	1274
687	2799	1269
688	2803	1265
689	2806	1260
690	2811	1257
691	2814	1252
692	2818	1248
693	2821	1244
694	2825	1240
695	2829	1236
696	2833	1231
697	2837	1227
698	2842	1223
699	2845	1219
700	2849	1215
701	2852	1211
702	2857	1207
703	2861	1203
704	2864	1198
705	2868	1194
706	2872	1190
707	2876	1186
708	2879	1181
709	2883	1177
710	2886	1173
711	2890	1169
712	2894	1165
713	2897	1160
714	2901	1156
715	2905	1152
716	2908	1148
717	2911	1143
718	2915	1139
719	2919	1135
720	2923	1131
721	2927	1127
722	2931	1122
723	2935	1119
724	2940	1115
725	2943	1111
726	2948	1107
727	2951	1102
728	2955	1098
729	2959	1094
730	2964	1090
731	2968	1086
732	2972	1082
733	2975	1078
734	2980	1074
735	2983	1070
736	2987	1066
737	2991	1061
738	2995	1057
739	2999	1053
740	3003	1049
741	3007	1045
742	3011	1041
743	3015	1037
744	3019	1033
745	3023	1029
746	3027	1025
747	3031	1021
748	3034	1016
749	3037	1012
750	3041	1008
751	3045	1004
752	3049	1000
753	3053	996
754	3058	992
755	3062	988
756	3067	984
757	3071	980
758	3075	976
759	3079	972
760	3083	968
761	3087	964
762	3091	960
763	3095	956
764	3098	951
765	3104	948
766	3108	944
767	3112	940
768	3118	936
769	3122	932
770	3125	928
771	3129	924
772	3133	920
773	3138	916
774	3142	912
775	3146	908
776	3151	904
777	3155	900
778	3159	896
779	3163	892
780	3167	888
781	3171	884
782	3176	880
783	3180	876
784	3184	872
785	3188	868
786	3194	864
787	3197	860
788	3201	856
789	3205	852
790	3209	847
791	3213	843
792	3216	839
793	3220	835
794	3224	831
795	3228	827
796	3231	823
797	3236	819
798	3240	815
799	3244	811
800	3248	807
801	3252	803
802	3256	798
803	3260	794
804	3264	790
805	3269	786
806	3273	782
807	3277	778
808	3281	774
809	3285	770
810	3289	766
811	3292	762
812	3297	758
813	3301	754
814	3305	750
815	3309	746
816	3313	742
817	3317	738
818	3321	734
819	3325	729
820	3329	726
821	3333	721
822	3337	717
823	3341	713
824	3346	709
825	3349	705
826	3353	701
827	3357	697
828	3361	693
829	3364	689
830	3368	685
831	3374	681
832	3378	677
833	3382	673
834	3387	669
835	3391	665
836	3395	661
837	3399	657
838	3403	653
839	3407	649
840	3411	644
841	3414	640
842	3419	636
843	3422	632
844	3426	628
845	3430	624
846	3434	620
847	3438	616
848	3442	612
849	3447	608
850	3452	604
851	3457	600
852	3462	596
853	3466	592
854	3470	588
855	3474	584
856	3478	580
857	3482	576
858	3487	572
859	3492	568
860	3496	564
861	3500	560
862	3504	556
863	3509	552
864	3513	548
865	3517	544
866	3522	540
867	3526	536
868	3530	532
869	3534	528
870	3539	524
871	3543	520
872	3547	516
873	3551	511
874	3555	507
875	3560	504
876	3564	499
877	3569	495
878	3573	491
879	3576	487
880	3580	483
881	3585	479
882	3589	475
883	3593	471
884	3598	467
885	3602	463
886	3606	459
887	3610	455
888	3614	451
889	3618	447
890	3621	443
891	3625	438
892	3630	435
893	3634	430
894	3638	426
895	3642	422
896	3647	418
897	3651	414
898	3654	410
899	3660	406
900	3665	402
901	3668	398
902	3673	394
903	3677	390
904	3682	386
905	3686	382
906	3690	378
907	3694	374
908	3698	370
909	3702	366
910	3706	362
911	3710	358
912	3714	353
913	3718	349
914	3722	345
915	3726	341
916	3730	337
917	3736	333
918	3740	329
919	3744	325
920	3748	321
921	3754	317
922	3757	313
923	3761	309
924	3765	305
925	3768	301
926	3773	297
927	3777	293
928	3781	289
929	3785	284
930	3789	280
931	3793	276
932	3797	272
933	3801	268
934	3805	264
935	3810	260
936	3814	256
937	3818	252
938	3822	248
939	3827	244
940	3831	240
941	3835	236
942	3841	232
943	3846	228
944	3850	224
945	3855	220
946	3859	215
947	3862	211
948	3866	207
949	3870	203
950	3875	199
951	3879	195
952	3883	191
953	3888	187
954	3892	183
955	3896	179
956	3901	175
957	3906	171
958	3910	167
959	3914	163
960	3918	159
961	3922	154
962	3926	150
963	3931	146
964	3935	142
965	3938	138
966	3942	134
967	3947	130
968	3950	126
969	3954	122
970	3958	118
971	3962	114
972	3967	110
973	3971	106
974	3975	101
975	3979	97
976	3984	93
977	3989	89
978	3994	85
979	3998	81
980	4002	77
981	4006	73
982	4010	69
983	4014	65
984	4018	61
985	4022	57
986	4027	53
987	4031	48
988	4035	44
989	4040	40
990	4044	36
991	4049	32
992	4054	28
993	4059	24
994	4063	20
995	4068	16
996	4072	12
997	4075	8
998	4079	4
999	4083	0
